season,round,constructorRef,constructorId,raceId,points_after_race,wins_after_race,position_after_race,positionText,constructorStandingsId,points,wins,position
1960,8,team_lotus,32,753,28.0,1,2,2,19103,25.0,1.0,2.0
1960,8,ferrari,6,753,19.0,0,3,3,19101,16.0,0.0,3.0
1960,8,brm,66,753,6.0,0,4,4,19102,6.0,0.0,4.0
1960,8,cooper-maserati,167,753,3.0,0,5,5,19100,3.0,0.0,5.0
1960,8,aston_martin,117,753,0.0,0,6,6,19099,0.0,0.0,6.0
1960,8,behra-porsche,104,753,0.0,0,7,7,19106,0.0,0.0,7.0
1960,8,maserati,105,753,0.0,0,8,8,19110,0.0,0.0,8.0
1960,8,jbw,101,753,0.0,0,9,9,19105,0.0,0.0,9.0
1960,8,cooper-castellotti,171,753,0.0,0,10,10,19107,0.0,0.0,10.0
1960,8,scarab,106,753,0.0,0,11,11,19108,0.0,0.0,11.0
1960,8,vanwall,118,753,0.0,0,12,12,19109,0.0,0.0,12.0
1960,9,cooper-climax,170,754,48.0,6,1,1,19111,48.0,6.0,1.0
1960,9,team_lotus,32,754,28.0,1,2,2,19114,28.0,1.0,2.0
1960,9,ferrari,6,754,26.0,1,3,3,19112,19.0,0.0,3.0
1960,9,brm,66,754,6.0,0,4,4,19115,6.0,0.0,4.0
1960,9,cooper-maserati,167,754,3.0,0,5,5,19113,3.0,0.0,5.0
1960,9,cooper-castellotti,171,754,3.0,0,6,6,19120,0.0,0.0,10.0
1960,9,porsche,95,754,1.0,0,7,7,19123,0.0,0.0,0.0
1960,9,behra-porsche,104,754,0.0,0,8,8,19116,0.0,0.0,7.0
1960,9,aston_martin,117,754,0.0,0,9,9,19121,0.0,0.0,6.0
1960,9,maserati,105,754,0.0,0,10,10,19117,0.0,0.0,8.0
1960,9,jbw,101,754,0.0,0,11,11,19118,0.0,0.0,9.0
1960,9,scarab,106,754,0.0,0,12,12,19119,0.0,0.0,11.0
1960,9,vanwall,118,754,0.0,0,13,13,19122,0.0,0.0,12.0
1960,10,cooper-climax,170,755,48.0,6,1,1,19129,48.0,6.0,1.0
1960,10,team_lotus,32,755,34.0,2,2,2,19128,28.0,1.0,2.0
1960,10,ferrari,6,755,26.0,1,3,3,19126,26.0,1.0,3.0
1960,10,brm,66,755,8.0,0,4,4,19127,6.0,0.0,4.0
1960,10,cooper-maserati,167,755,3.0,0,5,5,19125,3.0,0.0,5.0
1960,10,cooper-castellotti,171,755,3.0,0,6,6,19133,3.0,0.0,6.0
1960,10,porsche,95,755,1.0,0,7,7,19136,1.0,0.0,7.0
1960,10,behra-porsche,104,755,0.0,0,8,8,19131,0.0,0.0,8.0
1960,10,scarab,106,755,0.0,0,9,9,19134,0.0,0.0,12.0
1960,10,aston_martin,117,755,0.0,0,10,10,19124,0.0,0.0,9.0
1960,10,maserati,105,755,0.0,0,11,11,19132,0.0,0.0,10.0
1960,10,jbw,101,755,0.0,0,12,12,19130,0.0,0.0,11.0
1960,10,vanwall,118,755,0.0,0,13,13,19135,0.0,0.0,13.0
1961,1,lotus-climax,172,738,9.0,1,1,1,19327,0.0,0.0,0.0
1961,1,ferrari,6,738,6.0,0,2,2,19326,0.0,0.0,0.0
1961,1,porsche,95,738,2.0,0,3,3,19325,0.0,0.0,0.0
1961,1,cooper-climax,170,738,1.0,0,4,4,19324,0.0,0.0,0.0
